,topic,word,component
275,13,self,0.258
276,13,deal,0.258
277,13,compersion,0.249
278,13,issues,0.239
279,13,else,0.228
280,14,people,1.045
281,14,profile,0.854
282,14,looking,0.71
283,14,okc,0.647
284,14,find,0.619
285,14,okcupid,0.608
286,14,meet,0.588
287,14,friends,0.559
288,14,dating,0.557
289,14,poly,0.512
290,14,tinder,0.473
291,14,groups,0.451
292,14,community,0.448
293,14,meetup,0.421
294,14,area,0.419
295,14,online,0.414
296,14,open,0.398
297,14,good,0.392
298,14,group,0.381
299,14,local,0.379
300,15,husband,3.023
301,15,marriage,0.473
302,15,married,0.334
303,15,boyfriend,0.299
304,15,hubby,0.218
305,15,years,0.218
306,15,friend,0.139
307,15,us,0.133
308,15,bf,0.114
309,15,divorce,0.109
310,15,would,0.104
311,15,spouse,0.101
312,15,open,0.096
313,15,husbands,0.091
314,15,feelings,0.086
315,15,woman,0.083
316,15,new,0.079
317,15,first,0.073
318,15,time,0.071
319,15,well,0.071
320,16,date,2.634
321,16,dating,1.373
322,16,dates,0.643
323,16,first,0.517
324,16,someone,0.515
325,16,person,0.388
326,16,people,0.371
327,16,time,0.298
328,16,interested,0.274
329,16,new,0.248
330,16,go,0.244
331,16,separately,0.224
332,16,would,0.215
333,16,going,0.214
334,16,ask,0.213
335,16,know,0.21
336,16,meet,0.209
337,16,tell,0.169
338,16,went,0.154
339,16,couple,0.149
340,17,primary,1.944
341,17,secondary,1.383
342,17,hierarchy,0.736
343,17,hierarchical,0.422
344,17,relationship,0.416
345,17,relationships,0.291
346,17,primaries,0.222
347,17,partners,0.219
348,17,secondaries,0.184
349,17,married,0.177
350,17,equal,0.174
351,17,descriptive,0.171
352,17,important,0.166
353,17,prescriptive,0.156
354,17,partner,0.153
355,17,different,0.15
356,17,someone,0.15
357,17,labels,0.149
358,17,rules,0.148
359,17,nesting,0.147
360,18,want,1.374
361,18,like,1.272
362,18,feel,0.955
363,18,know,0.867
364,18,would,0.729
365,18,think,0.677
366,18,talk,0.573
367,18,really,0.566
368,18,need,0.492
369,18,something,0.492
370,18,feelings,0.491
371,18,things,0.459
372,18,ask,0.45
373,18,way,0.431
374,18,say,0.39
375,18,might,0.381
376,18,maybe,0.379
377,18,make,0.353
378,18,tell,0.353
379,18,sounds,0.317
380,19,cheating,0.793
381,19,boundaries,0.744
382,19,trust,0.691
383,19,rules,0.686
384,19,relationship,0.57
385,19,would,0.509
386,19,someone,0.471
387,19,going,0.394
388,19,rule,0.39
389,19,behavior,0.383
390,19,said,0.377
391,19,need,0.376
392,19,tell,0.367
393,19,leave,0.359
394,19,get,0.354
395,19,make,0.329
396,19,told,0.327
397,19,boundary,0.324
398,19,lying,0.32
399,19,situation,0.319
