,topic,word,component
0,0,relationship,3.488
1,0,open,0.853
2,0,relationships,0.75
3,0,want,0.524
4,0,years,0.418
5,0,long,0.406
6,0,monogamous,0.398
7,0,together,0.382
8,0,work,0.37
9,0,end,0.329
10,0,new,0.299
11,0,needs,0.282
12,0,polyamory,0.247
13,0,opening,0.245
14,0,wants,0.241
15,0,months,0.239
16,0,polyamorous,0.229
17,0,partner,0.229
18,0,romantic,0.228
19,0,one,0.221
20,1,people,2.506
21,1,polyamory,0.817
22,1,relationships,0.809
23,1,one,0.738
24,1,think,0.695
25,1,monogamy,0.693
26,1,like,0.547
27,1,person,0.541
28,1,monogamous,0.481
29,1,partners,0.453
30,1,polyamorous,0.428
31,1,different,0.4
32,1,multiple,0.367
33,1,many,0.352
34,1,non,0.343
35,1,way,0.317
36,1,someone,0.302
37,1,everyone,0.289
38,1,mean,0.271
39,1,others,0.27
40,2,boyfriend,0.945
41,2,happy,0.908
42,2,girlfriend,0.726
43,2,us,0.7
44,2,really,0.688
45,2,like,0.653
46,2,got,0.634
47,2,friend,0.58
48,2,went,0.578
49,2,together,0.554
50,2,friends,0.537
51,2,night,0.525
52,2,cute,0.501
53,2,gf,0.48
54,2,told,0.473
55,2,good,0.463
56,2,bf,0.462
57,2,first,0.461
58,2,one,0.453
59,2,great,0.449
60,3,sex,3.117
61,3,sexual,0.778
62,3,condoms,0.268
63,3,partners,0.263
64,3,risk,0.243
65,3,sexually,0.229
66,3,intimacy,0.228
67,3,tested,0.191
68,3,drive,0.189
69,3,get,0.172
70,3,desire,0.167
71,3,casual,0.165
72,3,libido,0.163
73,3,oral,0.161
74,3,asexual,0.148
75,3,intimate,0.146
76,3,romantic,0.145
77,3,physical,0.143
78,3,use,0.142
79,3,condom,0.137
80,4,time,2.842
81,4,together,0.752
82,4,week,0.743
83,4,need,0.654
84,4,spend,0.612
85,4,work,0.601
86,4,one,0.556
87,4,get,0.54
88,4,alone,0.515
89,4,things,0.49
90,4,day,0.48
91,4,night,0.456
92,4,needs,0.45
93,4,home,0.447
94,4,days,0.431
95,4,make,0.405
96,4,much,0.402
97,4,like,0.397
98,4,feel,0.394
99,4,nre,0.394
100,5,unicorn,2.109
101,5,triad,1.323
102,5,couple,0.907
103,5,unicorns,0.62
104,5,hunting,0.575
105,5,third,0.574
106,5,hunters,0.567
107,5,looking,0.553
108,5,couples,0.51
109,5,us,0.489
110,5,triads,0.43
111,5,separately,0.371
112,5,one,0.352
113,5,bi,0.282
114,5,three,0.279
115,5,woman,0.242
116,5,want,0.242
117,5,together,0.237
118,5,privilege,0.223
119,5,closed,0.221
120,6,love,3.94
121,6,happy,0.41
122,6,life,0.371
123,6,someone,0.37
124,6,feel,0.353
125,6,loving,0.339
126,6,loved,0.297
127,6,person,0.289
128,6,much,0.289
129,6,heart,0.284
130,6,thank,0.278
131,6,beautiful,0.253
132,6,one,0.249
133,6,loves,0.243
134,6,feelings,0.24
135,6,fall,0.219
136,6,still,0.205
137,6,never,0.2
138,6,always,0.199
139,6,nre,0.196
140,7,kids,1.799
141,7,family,1.59
142,7,parents,1.228
143,7,children,0.889
144,7,child,0.85
145,7,mom,0.742
146,7,dad,0.493
147,7,parent,0.49
148,7,would,0.469
149,7,mother,0.44
150,7,kid,0.434
151,7,life,0.407
152,7,know,0.387
153,7,live,0.35
154,7,married,0.345
155,7,legal,0.339
156,7,daughter,0.334
157,7,father,0.322
158,7,years,0.309
159,7,marriage,0.308
160,8,https,2.281
161,8,morethantwo,0.83
162,8,polyamory,0.745
163,8,html,0.69
164,8,coupleprivilege,0.364
165,8,unicorns,0.361
166,8,comments,0.357
167,8,read,0.327
168,8,multiamory,0.295
169,8,skipped,0.283
170,8,opening,0.279
171,8,resources,0.268
172,8,polyamoryschool,0.261
173,8,f1f67abbbd49,0.26
174,8,youtu,0.258
175,8,new,0.256
176,8,ethical,0.256
177,8,guide,0.237
178,8,thank,0.233
179,8,podcast,0.228
180,9,poly,4.446
181,9,mono,1.387
182,9,monogamous,0.553
183,9,time,0.219
184,9,lifestyle,0.218
185,9,cheating,0.215
186,9,happy,0.194
187,9,work,0.186
188,9,community,0.179
189,9,monogamy,0.163
190,9,never,0.147
191,9,know,0.14
192,9,relationships,0.134
193,9,polyamorous,0.129
194,9,open,0.128
195,9,years,0.124
196,9,cheat,0.123
197,9,single,0.117
198,9,partner,0.113
199,9,polyamory,0.11
200,10,wife,3.079
201,10,marriage,0.422
202,10,married,0.284
203,10,gf,0.224
204,10,girlfriend,0.216
205,10,divorce,0.134
206,10,woman,0.119
207,10,us,0.118
208,10,couple,0.104
209,10,open,0.095
210,10,wants,0.089
211,10,years,0.086
212,10,spouse,0.085
213,10,swinging,0.084
214,10,man,0.076
215,10,op,0.076
216,10,counseling,0.071
217,10,going,0.071
218,10,another,0.068
219,10,situation,0.067
220,11,partner,3.548
221,11,meta,0.924
222,11,partners,0.706
223,11,metas,0.3
224,11,new,0.285
225,11,nesting,0.284
226,11,person,0.275
227,11,metamour,0.248
228,11,boundaries,0.221
229,11,np,0.22
230,11,one,0.215
231,11,would,0.207
232,11,meet,0.205
233,11,relationship,0.196
234,11,shared,0.149
235,11,boundary,0.146
236,11,also,0.145
237,11,meeting,0.141
238,11,want,0.14
239,11,another,0.138
240,12,women,2.119
241,12,men,1.623
242,12,woman,0.83
243,12,man,0.628
244,12,bi,0.481
245,12,male,0.447
246,12,straight,0.375
247,12,female,0.359
248,12,gender,0.327
249,12,penis,0.317
250,12,guys,0.311
251,12,bisexual,0.294
252,12,opp,0.293
253,12,guy,0.29
254,12,one,0.278
255,12,like,0.272
256,12,think,0.271
257,12,girls,0.225
258,12,gay,0.213
259,12,girl,0.203
260,13,jealousy,1.981
261,13,jealous,0.945
262,13,feelings,0.838
263,13,feel,0.787
264,13,feeling,0.585
265,13,fear,0.49
266,13,work,0.395
267,13,emotions,0.376
268,13,insecurity,0.343
269,13,help,0.316
270,13,really,0.307
271,13,get,0.297
272,13,good,0.29
273,13,things,0.278
274,13,insecurities,0.26
